url,label,source,backlinks,refpages,pages,valid_pages,text,image,nofollow,ugc,sponsored,dofollow,redirect,canonical,gov,edu,rss,alternate,html_pages,links_internal,links_external,refdomains,refclass_c,refips,linked_root_domains
nola.com,5,MBFC,10831881,6355778,758948,758897,10768341,231274,1004424,14747,72,9763121,26030,12699,37981,47560,8167,13692,206368,32628408,1972731,90549,26311,55237,3533
nolabels.org,5,MBFC,145728,58965,3052,3052,144615,16673,2783,145,0,141832,70,1,22,178,1,0,2343,73819,11422,2571,1455,1935,470
nomorefakenews.com,1,MBFC,941105,647854,8014,8000,938825,7941,34161,4776,1,904169,270,919,0,159,75,146,7645,210666,202438,5929,3105,4614,7265
nonpareilonline.com,5,MBFC,191612,157064,62802,62799,190377,2299,58475,583,3,131896,488,483,270,362,221,3,7668,560885,107936,9514,4122,6203,1759
noozhawk.com,5,MBFC,522117,425228,478,478,521470,50054,285173,793,1,236289,354,200,372,4463,90,0,1,0,0,25292,6819,11391,0
noqreport.com,3,MBFC-Q,366756,229828,86962,86820,364475,3141,34750,4690,2,329532,797,151,1,103,45,3,75380,2181087,4891230,6207,3318,5603,7437
norfolkdailynews.com,5,MBFC,149696,105993,16631,16629,144710,13993,78927,150,45,65778,153,74,120,460,148,3,3394,211512,26605,7073,3875,6240,615
northbaynipissing.com/almaguinhighlands-on,5,MBFC,37069,23021,165940,165328,24401,849,7959,133,0,16442,161,12462,250,32,43,0,80965,2550258,1802781,1453,1452,3619,5822
northjersey.com,5,MBFC,17614247,3920755,2761677,2761627,14288600,1010888,1467136,33260,166,12804636,6789,3187592,10703,77037,527,5,679594,13308166,4492863,59816,19128,38556,33977
norwichbulletin.com,5,MBFC,872312,274771,1414833,1414750,866788,19081,113394,612,1,753394,398,5062,1785,4092,28,0,390925,9609272,4043464,15115,5039,8060,37849
nos.nl,5,MBFC,13928882,4544017,1154210,1154198,13853678,1125160,2810633,56654,149,11038636,9414,327,133,193900,1565,101,355781,1671082,73752,178498,17754,40662,200
noticias-frescas.com,1,Buzzfeed,27511,23515,3189,3189,27509,2225,363,22,0,27145,2,0,0,0,0,0,2398,175148,1669,1599,291,336,5
notizzia.com,1,Buzzfeed,24879,20727,33,33,24879,338,40,0,0,24839,0,0,0,0,0,0,24,907,58,301,111,129,6
notrickszone.com,3,MBFC,1384821,855880,17802,17802,1382828,13770,64786,19798,2,1317703,134,1096,0,194,39,22,17370,3592115,1763231,5189,2861,4090,8770
notthebee.com,5,MBFC,479572,360644,36716,36713,478021,21935,19070,1757,1,458894,678,38,0,23,116,0,36260,373597,163534,5209,2558,4087,2788
novaramedia.com,4,MBFC,783313,322563,6052,6052,782034,14306,18353,679,0,763516,179,5,0,3497,941,1,5109,164092,71552,4980,3055,4268,3939
